Keys;English (United States);Russian;Chinese (Simplified);Spanish (Spain);German (Germany);French;Japan;Korean;Название английское;Что это
LastSeeTargetTimerTooltip;Keeps tracking the last target briefly after losing line of sight;Сохраняет захват цели на короткое время после потери видимости;在失去视线后短暂保持目标追踪;Mantiene el seguimiento del último objetivo brevemente tras perder visión;Verfolgt das letzte Ziel kurz weiter nach Sichtverlust;Continue de suivre brièvement la dernière cible après perte de vue;視界喪失後も短時間追跡;시야를 잃은 후 잠시 목표를 유지;;
ModuleDescription;Combat aiming and firing module designed for advanced operatives. Allows manual tuning of the weapon sensitivity threshold and aim point.;Боевой модуль наведения и стрельбы, рассчитанный на продвинутых специалистов. Позволяет вручную настраивать порог чувствительности оружия и точку наведения.;面向高级专家的战斗瞄准和射击模块。允许手动调整武器灵敏度阈值和瞄准点。;Módulo de combate de apuntado y disparo diseñado para especialistas avanzados. Permite ajustar manualmente el umbral de sensibilidad del arma y el punto de mira.;Kampfmodul zum Zielen und Feuern, entwickelt für fortgeschrittene Spezialisten. Ermöglicht die manuelle Anpassung der Waffenempfindlichkeitsschwelle und des Zielpunkts.;Module de combat de visée et de tir conçu pour les spécialistes avancés. Permet d’ajuster manuellement le seuil de sensibilité de l’arme et le point de visée.;上級スペシャリスト向けに設計された戦闘用の照準・射撃モジュールです。武器の感度しきい値と照準点を手動で調整できます。;고급 스페셜리스트를 위해 설계된 전투 조준 및 사격 모듈입니다. 무기 감도 임계값과 조준점을 수동으로 조정할 수 있습니다.;;
Penetration;Adjust auto-fire threshold;Изменение порога автострельбы;调整自动射击阈值;Ajustar umbral de disparo automático;Auto-Feuer-Schwelle anpassen;Ajuster le seuil de tir automatique;自動射撃しきい値を調整;자동 사격 임계값 조정;;
PenetrationHold;Free look (hold);Свободный обзор (удержание);自由视角（按住）;Vista libre (mantener);Freies Umschauen (halten);Vue libre (maintenir);フリールック（長押し）;자유 시점 (누르기);;
PenetrationHoldTooltip;Hold to look around without moving the aim;Удерживайте клавишу, чтобы осматриваться, не двигая прицел;按住以在不移动瞄准的情况下环顾四周;Mantén para mirar alrededor sin mover la mira;Gedrückt halten, um sich umzusehen, ohne das Zielen zu bewegen;Maintenez pour regarder autour sans déplacer la visée;照準を動かさずに周囲を見るには押し続ける;조준을 움직이지 않고 주변을 보려면 누르고 유지;;
PenetrationTooltip;Adjusts the auto-fire threshold from >10% to 100% or disables auto-fire;Изменяет порог автострельбы от >10% до 100% или отключает автострельбу;将自动射击阈值调整为 >10% 到 100% 或关闭自动射击;Ajusta el umbral de disparo automático de >10% a 100% o desactiva el disparo automático;Passt die Auto-Feuer-Schwelle von >10% bis 100% an oder deaktiviert Auto-Feuer;Ajuste le seuil de tir automatique de >10% à 100% ou désactive le tir automatique;自動射撃のしきい値を >10%〜100% に調整、または無効化;자동 사격 임계값을 >10%~100%로 조정하거나 비활성화;;
SaveNewConfig;Save weapon settings;Сохранить настройки оружия;保存武器设置;Guardar ajustes del arma;Waffeneinstellungen speichern;Sauvegarder les paramètres de l’arme;武器設定を保存;무기 설정 저장;;
SaveNewConfigTooltip;Assigns a key to save the current settings for the active weapon;Назначает клавишу для сохранения текущих настроек активного оружия;指定用于保存当前激活武器设置的按键;Asigna una tecla para guardar la configuración actual del arma activa;Weist eine Taste zu, um die aktuellen Einstellungen der aktiven Waffe zu speichern;Attribue une touche pour sauvegarder les paramètres actuels de l’arme active;現在のアクティブ武器の設定を保存するキーを割り当てます;현재 활성 무기의 설정을 저장할 키를 지정합니다;;
ShootHit;Auto-fire:;Автострельба:;自动射击:;Disparo auto:;Auto-Feuer:;Tir auto :;自動射撃:;자동 사격:;;
ShootHitSuffix;hit chance;попадания;命中率;de acierto;Trefferchance;de toucher;命中;명중;;
ShootPenetration;Penetration:;Пробитие:;穿透:;Penetracion:;Durchschuss:;Penetration :;貫通:;관통:;;
SwitchAimMode;Target zone switch;Переключение зоны цели;切换目标区域;Cambio de zona de objetivo;Zielzonen-Wechsel;Changement de zone cible;ターゲットゾーン切替;목표 부위 전환;;
SwitchAimModeTooltip;Assigns a key to switch between selected target zones;Назначает клавишу для переключения между выбранными зонами цели;指定用于在所选目标区域之间切换的按键;Asigna una tecla para alternar entre las zonas de objetivo seleccionadas;Weist eine Taste zu, um zwischen den ausgewählten Zielzonen zu wechseln;Attribue une touche pour basculer entre les zones cibles sélectionnées;選択したターゲットゾーンを切り替えるキーを割り当てます;선택한 목표 부위 사이를 전환할 키를 지정합니다;;
TriggerbotDisabled;Auto-fire disabled;Автострельба отключена;自动射击已关闭;Disparo auto desactivado;Auto-Feuer deaktiviert;Tir auto désactivé;自動射撃オフ;자동 사격 비활성화;;
